N6705C exported datalog

"Sample interval: 0.00100352"
"Trigger sample: 0"
"Date: Tue Sep  1 16:19:49 2020"

Sample,"Curr avg 3","Volt avg 4"
571,0.00173226,12.6007
572,0.00190474,12.6014
573,0.00203515,12.6016
574,0.00160185,12.6009
575,0.00207091,12.6008
576,0.00218449,12.6017
577,0.00183743,12.6012
578,0.00176591,12.6009
579,0.00212981,12.601
580,0.0017007,12.601
581,0.00194891,12.6012
582,0.00214032,12.601
583,0.00148826,12.6009
584,0.00216977,12.6012
585,0.00169229,12.601
586,0.00141885,12.6004
587,0.00203726,12.6011
588,0.00193208,12.6004
589,0.00168178,12.6011
590,0.00196153,12.6014
591,0.00174698,12.6009
592,0.00223287,12.6008
593,0.00197415,12.6008
594,0.00211718,12.601
595,0.00149667,12.6013
596,0.00250211,12.6009
597,0.0017007,12.6017
598,0.00191736,12.6007
599,0.0018837,12.6006
600,0.00177853,12.6014
601,0.0016965,12.6017
602,0.00193208,12.601
603,0.00167757,12.6016
604,0.00174488,12.6009
605,0.00167757,12.6008
606,0.00165864,12.6008
607,0.00197205,12.6007
608,0.00205198,12.6011
609,0.00170912,12.6016
610,0.00199939,12.6011
611,0.00182901,12.6013
612,0.00186056,12.6011
613,0.00223077,12.6009
614,0.00167546,12.6017
615,0.00205408,12.6008
616,0.0020036,12.6016
617,0.00162709,12.6014
618,0.00168388,12.6012
619,0.00188581,12.6009
620,0.00163129,12.6011
621,0.00163129,12.6012
622,0.00218449,12.6012
623,0.00203515,12.6004
624,0.00180798,12.6014
625,0.00211508,12.6005
626,0.00191946,12.6007
627,0.00168808,12.6013
628,0.00227705,12.6012
629,0.00132209,12.6005
630,0.00191105,12.6007
631,0.00195733,12.6014
632,0.00172805,12.6011
633,0.00164391,12.6009
634,0.00228756,12.6002
635,0.00186056,12.6004
636,0.00196364,12.6011
637,0.00203515,12.6009
638,0.00166915,12.6007
639,0.00185426,12.6011
640,0.00198677,12.6011
641,0.00154295,12.6013
642,0.00197626,12.6008
643,0.0018837,12.6012
644,0.0018795,12.6014
645,0.00192157,12.6009
646,0.00202253,12.6014
647,0.00147985,12.6015
648,0.00202463,12.6011
649,0.00186056,12.6009
650,0.00160185,12.6007
651,0.00199308,12.6008
652,0.00178274,12.6012
653,0.00179115,12.6011
654,0.00200781,12.6007
655,0.00159343,12.6008
656,0.00188791,12.6012
657,0.00227494,12.6016
658,0.00155346,12.6012
659,0.0019447,12.6007
660,0.00232542,12.6011
661,0.00135154,12.6014
662,0.00182691,12.6013
663,0.00223498,12.6014
664,0.00141464,12.6017
665,0.0021887,12.6016
666,0.00191315,12.6011
667,0.0015114,12.6003
668,0.00210667,12.6014
669,0.00190263,12.6011
670,0.00153033,12.6009
671,0.00198257,12.6012
672,0.00177433,12.6004
673,0.00189422,12.601
674,0.00190894,12.6007
675,0.00203094,12.6017
676,0.00194891,12.6015
677,0.00208984,12.6013
678,0.00168598,12.6011
679,0.00195312,12.6016
680,0.00217398,12.6009
681,0.00162709,12.6012
682,0.00209825,12.6007
683,0.00191315,12.6013
684,0.0016965,12.6012
685,0.00171333,12.6012
686,0.00202253,12.6009
687,0.0017554,12.6015
688,0.00196994,12.6009
689,0.0021256,12.6003
690,0.00199519,12.6014
691,0.00199729,12.6013
692,0.00226863,12.6012
693,0.00188791,12.6012
694,0.00187529,12.6007
695,0.0019426,12.6012
696,0.00181008,12.6013
697,0.00195522,12.6011
698,0.00207091,12.6019
699,0.00156609,12.6011
700,0.00208143,12.6011
701,0.00161867,12.6012
702,0.00171543,12.6004
703,0.00228125,12.6012
704,0.00182481,12.6011
705,0.00150298,12.6014
706,0.00195522,12.6012
707,0.00155767,12.6004
708,0.00187739,12.6008
709,0.00196364,12.6008
710,0.00182691,12.6007
711,0.00189633,12.6009
712,0.0017554,12.6008
713,0.00200781,12.6013
714,0.00191105,12.6007
715,0.00177012,12.6009
716,0.00183743,12.6013
717,0.00221604,12.6022
718,0.0019426,12.6007
719,0.00160605,12.6014
720,0.00203305,12.6009
721,0.00165233,12.6012
722,0.00190053,12.6013
723,0.00171543,12.6012
724,0.00158502,12.601
725,0.00187529,12.6017
726,0.00175329,12.6012
727,0.0020625,12.6015
728,0.00174067,12.6004
729,0.00205408,12.601
730,0.00166705,12.6009
731,0.0019405,12.602
732,0.00177433,12.6009
733,0.00159974,12.6013
734,0.00171333,12.6016
735,0.0017007,12.6002
736,0.00199098,12.601
737,0.00259887,12.6011
738,0.00127371,12.601
739,0.00216136,12.6014
740,0.00168598,12.6016
741,0.00179746,12.6009
742,0.00183743,12.6012
743,0.00228967,12.6002
744,0.00190474,12.6009
745,0.00159133,12.601
746,0.00238432,12.6003
747,0.00153033,12.601
748,0.00159553,12.6009
749,0.00177643,12.601
750,0.00175329,12.6017
751,0.0017007,12.6007
752,0.00215294,12.6017
753,0.00167336,12.6015
754,0.0018206,12.601
755,0.00189633,12.6015
756,0.00179115,12.6007
757,0.00167757,12.6011
758,0.00228336,12.6012
759,0.00179536,12.6011
760,0.00181008,12.6011
761,0.00199729,12.6009
762,0.0015766,12.6013
763,0.0018837,12.6019
764,0.00207512,12.6007
765,0.0015156,12.6012
766,0.00208143,12.6005
767,0.00211087,12.6004
768,0.00150929,12.6015
769,0.00189843,12.6009
770,0.0015156,12.6012
771,0.00168598,12.6009
772,0.00171963,12.6012
773,0.0019384,12.6003
774,0.00170281,12.6012
775,0.00182271,12.6009
776,0.00202884,12.6012
777,0.00183743,12.6014
778,0.00190894,12.6008
779,0.00184795,12.6017
780,0.00175329,12.6011
781,0.00210036,12.601
782,0.00190474,12.6016
783,0.0019447,12.6007
784,0.0022497,12.6011
785,0.00141674,12.6007
786,0.00199519,12.6013
787,0.00217398,12.6012
788,0.00165233,12.6014
789,0.00228756,12.6013
790,0.00167967,12.6013
791,0.00182271,12.6012
792,0.00218239,12.6012
793,0.00144829,12.6011
794,0.00183112,12.6008
795,0.00200781,12.6014
796,0.0017007,12.6011
797,0.00199729,12.6009
798,0.00196994,12.6016
799,0.00198467,12.6009
800,0.0019384,12.6005
801,0.00180588,12.6013
802,0.00196153,12.6005
803,0.00155346,12.601
804,0.00203936,12.6013
805,0.00178274,12.6011
806,0.00180167,12.6007
807,0.00231911,12.6014
808,0.00166705,12.6013
809,0.00205408,12.6012
810,0.00197626,12.6008
811,0.00170912,12.6012
812,0.00189843,12.6014
813,0.00224339,12.6013
814,0.00143567,12.6013
815,0.00196784,12.6017
816,0.00210246,12.6013
817,0.00154715,12.6009
818,0.00224339,12.6011
819,0.00188791,12.6008
820,0.00178695,12.6016
821,0.00188581,12.6013
822,0.00196364,12.6012
823,0.00173857,12.6013
824,0.00188581,12.6011
825,0.00180167,12.6011
826,0.00192367,12.6008
827,0.00198677,12.6012
828,0.0018206,12.6009
829,0.00177853,12.6013
830,0.00215505,12.6008
831,0.00167757,12.6014
832,0.00207301,12.6009
833,0.0020646,12.6012
834,0.00216136,12.6009
835,0.0016965,12.6016
836,0.00183322,12.6016
837,0.00167967,12.6008
838,0.00202463,12.6004
839,0.00201832,12.6013
840,0.00165864,12.6008
841,0.00196364,12.6014
842,0.00201201,12.601
843,0.00179115,12.6012
844,0.00198888,12.6003
845,0.0017617,12.6013
846,0.00178484,12.6005
847,0.00171753,12.6007
848,0.00185636,12.6011
849,0.0016965,12.6003
850,0.00215505,12.6011
851,0.00209194,12.6008
852,0.00184374,12.601
853,0.00220553,12.6014
854,0.00176381,12.6012
855,0.00177853,12.6009
856,0.0018164,12.6013
857,0.00189633,12.6009
858,0.00159133,12.6014
859,0.00211087,12.6012
860,0.00186477,12.6004
861,0.00190684,12.601
862,0.00188791,12.6012
863,0.00158291,12.6014
864,0.00195522,12.6012
865,0.00208563,12.6007
866,0.00171122,12.6014
867,0.00186056,12.6012
868,0.00214243,12.601
869,0.00178064,12.6015
870,0.00138098,12.6004
871,0.00208984,12.6007
872,0.00173436,12.6012
873,0.00203726,12.6014
874,0.00181008,12.6009
875,0.00173226,12.6015
876,0.00190474,12.6007
877,0.00205408,12.6012
878,0.00159764,12.6013
879,0.00195312,12.6011
880,0.00196153,12.601
881,0.00188581,12.6015
882,0.0020057,12.6013
883,0.00184795,12.6013
884,0.00177853,12.6016
885,0.00197836,12.6011
886,0.00198677,12.6013
887,0.00155767,12.601
888,0.00229177,12.6011
889,0.00211718,12.6008
890,0.00170912,12.6009
891,0.00197415,12.6013
892,0.00147143,12.6007
893,0.00204777,12.6016
894,0.0021235,12.6013
895,0.00155978,12.6011
896,0.0015745,12.6014
897,0.00213191,12.6011
898,0.00184795,12.6014
899,0.0018816,12.6008
900,0.0019405,12.6011
901,0.0017007,12.6016
902,0.00201412,12.6012
903,0.00223498,12.6004
904,0.00178695,12.6013
905,0.00196994,12.6006
906,0.00183953,12.6017
907,0.00185636,12.6019
908,0.00198046,12.6016
909,0.00206881,12.6007
910,0.0016986,12.6014
911,0.00202674,12.6012
912,0.00167126,12.6012
913,0.00158291,12.6015
914,0.0020015,12.6015
915,0.00216136,12.6014
916,0.00148616,12.6007
917,0.00198467,12.6011
918,0.00221604,12.6014
919,0.00164181,12.6017
920,0.00171543,12.6012
921,0.00192577,12.6013
922,0.00186688,12.6008
923,0.0020015,12.6009
924,0.00204777,12.6014
925,0.00181429,12.6001
926,0.00183743,12.6013
927,0.00184164,12.6011
928,0.00165443,12.6008
929,0.00183322,12.6016
930,0.00204567,12.601
931,0.00165653,12.6011
932,0.00214453,12.6013
933,0.00177222,12.6012
934,0.00161026,12.6013
935,0.00165443,12.6008
936,0.00146512,12.6009
937,0.0022518,12.6007
938,0.00217608,12.6011
939,0.00159974,12.6011
940,0.00197205,12.6016
941,0.00211298,12.6008
942,0.00141674,12.6007
943,0.00218449,12.6015
944,0.00213191,12.6005
945,0.00142936,12.6009
946,0.00225391,12.6011
947,0.00205198,12.601
948,0.00171543,12.6012
949,0.0019405,12.6011
